V1,V2,V3,V4,V5,V6,V7,V8
2,2,1,1,1,2,1,2
2,1,1,1,1,1,2,1
1,1,2,1,1,1,2,1
2,1,2,1,1,1,2,1
2,1,2,1,1,1,1,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,1,2
2,1,2,1,1,1,1,2
2,1,2,1,1,1,2,1
2,1,2,1,1,1,2,2
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
1,1,2,1,1,1,2,2
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
1,1,2,1,1,1,2,1
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
2,1,1,1,1,1,1,1
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,2,1,1,1,2,1
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,2,2,1,1,2,1,2
2,1,2,1,1,1,2,2
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,2,1,1,1,1,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
2,2,2,1,1,2,1,2
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
2,1,2,1,1,1,1,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
1,1,2,1,1,1,2,2
2,2,2,1,1,2,1,1
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,2,1,1,1,1,2
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,1
2,1,2,1,1,1,2,1
1,1,1,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,1
2,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,1
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,1
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,2,1,1,1,2,1,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
2,1,1,1,1,1,2,1
2,1,2,1,1,1,2,1
2,2,1,1,1,2,1,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,2,1,1,1,1,1
2,1,1,1,1,1,2,2
1,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,2
1,1,1,1,1,1,1,1
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,1,1
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,1
2,1,2,1,1,1,2,1
2,1,2,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
2,1,2,1,2,2,1,2
2,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,1
1,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
2,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,1,1,1,1,1,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
2,1,2,1,1,1,2,1
2,1,1,1,1,1,1,1
2,1,2,1,1,1,2,1
1,1,1,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,1
2,1,2,1,1,1,2,1
1,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,1,1,2,2,1,2
1,1,2,1,1,1,2,2
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,2,1,1,1,2,2
1,1,2,1,1,1,1,2
1,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
1,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,2,2,1,1,2,1,2
1,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,2,1,1,1,1,2
2,1,1,1,1,1,2,1
2,1,2,1,1,1,2,1
2,1,2,1,1,1,2,1
1,1,1,1,1,1,2,1
1,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,2
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1
2,1,2,1,1,1,2,2
2,1,2,1,1,1,2,1
